ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Years_As_Customer,Recency,Alcohol,Vegetables,Meat,Fish,Chocolates,Commodities,TotalSpent,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
7962,34,PhD,Single,95169,0,0,8.91,1,1285,21,449,106,20,20,1901,1,4,4,1,1,0,SP,2
4070,52,PhD,Married,94871,0,2,10.01,99,169,24,553,188,0,144,1078,1,8,4,7,1,0,CA,2
3334,70,Graduation,Married,94642,0,0,8.56,35,879,143,797,106,143,143,2211,0,5,9,1,0,0,SP,2
10164,63,Graduation,Single,94472,0,1,8.42,75,1017,33,417,108,100,16,1691,1,5,5,5,0,0,SP,2
5386,68,Graduation,Together,94384,0,0,9.51,62,1111,24,790,160,45,172,2302,0,5,5,2,1,0,SA,3
6024,68,Graduation,Together,94384,0,0,9.51,62,1111,24,790,160,45,172,2302,0,5,5,2,1,0,SP,3
10133,51,Graduation,Single,93790,0,0,8.56,16,1302,68,731,89,114,45,2349,0,6,12,2,1,0,CA,3
9499,67,Graduation,Married,93404,1,2,9.33,97,1279,15,287,20,0,15,1616,3,3,7,5,0,0,CA,2
6932,80,PhD,Married,93027,0,0,9.40,77,1285,42,716,55,0,21,2119,0,7,5,2,0,0,SP,1
10489,48,Graduation,Married,92955,0,0,9.05,35,693,21,925,31,24,84,1778,1,6,9,2,1,0,SA,2
1340,35,Graduation,Married,92910,0,0,8.37,42,551,137,792,179,103,33,1795,1,6,13,1,0,0,SP,3
821,29,Master,Single,92859,0,0,9.88,46,962,61,921,52,61,20,2077,1,5,12,2,0,0,CA,0
5832,61,2nd Cycle,Together,92556,0,0,8.38,32,493,183,352,184,23,28,1263,0,3,13,0,0,0,SP,0
9349,36,Graduation,Married,92533,0,0,8.71,84,693,21,118,110,147,42,1131,1,6,11,2,0,0,GER,2
1172,38,PhD,Married,92491,0,0,9.35,71,979,44,935,29,25,22,2034,1,7,12,3,1,0,SP,3
10909,73,Graduation,Married,92344,0,0,8.64,9,992,24,694,51,19,119,1899,0,5,5,1,0,0,AUS,2
7627,46,Master,Married,92163,0,0,9.73,25,817,183,797,106,163,20,2086,0,5,5,2,1,0,SP,2
6303,35,PhD,Together,91820,0,0,8.78,72,410,73,747,76,161,30,1497,0,5,12,1,0,0,CA,0
6248,74,Master,Single,91712,0,0,8.88,47,1276,24,746,94,29,48,2217,0,9,11,3,1,0,SP,1
9220,50,Graduation,Single,91700,0,0,9.63,58,576,172,961,125,115,19,1968,1,8,5,3,1,0,SP,0
3138,65,Graduation,Single,91249,0,0,9.88,84,1324,27,119,71,108,27,1676,0,7,6,4,1,0,SP,4
3520,31,Master,Single,91172,0,0,9.44,94,162,28,818,0,28,56,1092,0,4,7,3,1,0,CA,4
4216,40,Graduation,Single,91065,0,0,9.53,33,822,114,108,179,137,114,1474,1,7,9,3,1,0,SP,2
5558,67,PhD,Single,90933,0,0,8.43,90,1020,31,430,62,63,79,1685,1,4,4,1,0,0,SP,1
5147,73,Graduation,Single,90842,0,0,9.10,57,774,70,118,182,187,93,1424,1,4,13,1,0,0,SP,0
1592,51,Graduation,Married,90765,0,0,8.61,25,547,99,812,151,82,33,1724,0,4,5,1,0,0,CA,2
3979,38,PhD,Divorced,90687,0,0,9.29,98,982,17,672,23,34,51,1779,1,6,8,2,1,0,SP,1
5735,30,Master,Single,90638,0,0,8.56,29,1156,120,915,94,144,96,2525,1,3,10,1,0,0,SP,1
5350,30,Master,Single,90638,0,0,8.56,29,1156,120,915,94,144,96,2525,1,3,10,1,1,0,SA,1
1619,65,Graduation,Married,90369,0,0,8.36,2,292,51,981,224,23,17,1588,1,4,6,1,1,0,SP,0
8318,42,Graduation,Together,90300,0,0,8.67,7,594,134,786,33,134,57,1738,0,5,8,1,0,0,SP,1
569,30,Graduation,Single,90273,0,0,8.73,32,704,129,853,120,74,111,1991,1,5,7,2,1,0,SP,3
8029,33,Master,Single,90247,0,0,8.35,27,1184,32,352,21,16,16,1621,1,3,7,1,1,0,US,3
5453,65,Master,Married,90226,0,0,9.94,26,1083,108,649,253,151,108,2352,1,4,12,2,0,0,SA,1
10394,37,Graduation,Married,90000,0,0,8.70,91,675,144,133,94,192,241,1479,1,4,5,1,0,0,CA,3
11101,30,Graduation,Together,89891,0,0,9.39,17,412,22,132,59,28,183,836,1,11,8,4,0,0,AUS,1
10430,48,Graduation,Divorced,89694,1,1,8.91,22,1126,28,211,37,28,42,1472,3,4,4,5,0,0,AUS,3
4418,38,Master,Single,89616,0,0,9.53,36,671,47,655,145,111,15,1644,1,7,12,2,1,0,CA,0
4947,55,2nd Cycle,Single,89572,0,0,9.97,44,606,24,974,197,194,64,2059,1,7,9,4,1,0,SP,2
6036,62,Master,Together,89120,0,0,8.47,78,1168,92,408,72,129,55,1924,1,5,7,1,0,0,SP,1
10991,61,Master,Married,89058,0,0,9.75,18,454,194,106,31,22,43,850,1,5,4,2,0,0,CA,0
3010,32,Master,Together,88420,0,0,8.35,87,957,153,612,99,95,153,2069,1,4,8,1,0,0,SP,3
6421,60,Graduation,Together,88347,0,0,9.18,32,1050,178,555,77,138,118,2116,1,4,9,1,0,0,SP,1
10469,40,Graduation,Together,88325,0,0,8.58,42,519,71,860,93,27,53,1623,1,6,9,2,0,0,IND,0
9369,42,2nd Cycle,Single,88194,0,1,8.47,19,688,14,309,201,24,38,1274,1,11,10,5,1,0,GER,2
2535,43,Master,Married,88097,1,0,10.05,24,163,0,480,0,126,75,844,1,6,8,9,1,0,SP,3
3174,62,Graduation,Together,87771,0,1,9.29,61,1492,38,287,50,57,33,1957,1,5,4,6,1,0,SP,4
5536,62,Graduation,Together,87771,0,1,9.29,61,1492,38,287,50,57,33,1957,1,5,4,6,1,0,CA,4
1763,33,Graduation,Together,87679,0,0,9.11,62,1259,172,815,97,148,33,2524,1,7,10,4,1,0,CA,3
3619,61,2nd Cycle,Divorced,87305,0,0,9.95,19,345,25,501,63,138,80,1152,1,5,8,2,1,0,AUS,1
8908,62,Graduation,Married,87195,0,0,8.33,35,217,76,690,50,26,38,1097,1,3,5,1,1,0,CA,0
4278,38,PhD,Single,87188,0,0,9.26,73,910,111,724,49,74,55,1923,1,10,6,3,1,0,IND,0
4207,40,PhD,Married,87171,0,0,9.35,27,1001,44,107,58,44,44,1298,1,6,11,2,0,0,SP,2
2802,29,2nd Cycle,Married,87000,0,0,9.72,61,196,25,607,67,17,49,961,1,4,7,2,0,0,AUS,0
5113,50,PhD,Divorced,86979,0,0,8.83,67,584,100,835,65,83,35,1702,1,5,5,2,1,0,SP,1
9826,49,PhD,Single,86857,0,0,9.98,96,899,102,838,133,102,40,2114,1,5,10,2,1,0,US,0
5830,49,PhD,Single,86857,0,0,9.98,96,899,102,838,133,102,40,2114,1,5,10,2,1,0,SA,0
7872,46,PhD,Married,86836,0,0,9.98,7,179,21,273,0,21,63,557,1,6,6,5,1,0,SP,3
6422,67,Graduation,Married,86718,0,0,9.63,20,344,189,482,50,33,172,1270,1,5,5,2,0,0,IND,0
1964,70,Graduation,Together,86610,0,0,9.00,66,446,107,768,33,196,53,1603,1,5,6,2,0,0,SP,0
10742,38,PhD,Married,86580,0,0,9.52,72,532,21,127,26,20,20,746,0,4,5,1,0,0,SP,1
10150,60,Graduation,Single,86429,0,0,8.79,10,464,28,873,29,18,37,1449,0,7,7,2,1,0,SA,1
1446,65,Master,Single,86424,0,0,8.42,12,387,68,569,89,45,68,1226,1,6,12,1,0,0,SA,0
6749,55,Graduation,Single,86358,1,1,10.08,78,957,47,494,82,47,95,1722,4,5,6,8,0,0,SP,0
8690,59,Graduation,Married,86111,0,0,9.38,73,399,28,756,36,40,126,1385,1,5,10,2,0,0,CA,0
999,30,Graduation,Single,86037,0,0,9.67,95,490,44,125,29,20,22,730,1,6,11,3,1,0,CA,2
1127,48,PhD,Married,85844,0,0,8.27,62,938,19,843,25,95,38,1958,1,6,7,2,0,0,SP,1
4331,43,Master,Together,85738,0,0,8.62,41,913,26,376,17,26,13,1371,1,3,11,1,0,0,SP,2
1031,32,2nd Cycle,Married,85710,0,0,9.34,5,600,20,350,29,30,33,1062,1,6,10,2,0,0,IND,1
8015,59,PhD,Divorced,85696,0,0,9.34,88,714,76,395,116,0,12,1313,1,4,9,1,1,0,SP,0
1745,59,PhD,Divorced,85696,0,0,9.34,88,714,76,395,116,0,12,1313,1,4,9,1,1,0,SP,0
4518,42,Graduation,Together,85693,0,1,9.38,59,386,172,183,185,132,111,1169,2,9,11,5,0,0,CA,0
8545,67,Graduation,Divorced,85683,0,0,8.46,6,1296,17,311,45,69,51,1789,1,2,10,1,1,0,SP,4
10955,57,Graduation,Widow,85620,0,0,8.66,68,416,46,925,60,107,46,1600,1,3,4,1,1,0,SP,0
2975,45,Graduation,Together,85606,0,1,9.81,89,717,42,864,219,30,84,1956,2,6,9,3,0,0,SP,1
9400,63,2nd Cycle,Single,85485,0,0,8.21,73,630,26,611,44,18,54,1383,1,6,6,2,0,0,SP,0
8584,69,PhD,Together,85431,0,0,9.24,54,376,53,462,168,53,53,1165,1,2,7,0,0,0,SP,0
11074,44,Graduation,Single,85072,0,0,8.41,94,494,92,391,194,11,241,1423,1,3,10,0,0,0,SA,0
6906,68,Master,Widow,84953,0,0,9.26,73,167,48,602,63,72,72,1024,1,3,4,2,1,0,SP,3
9757,49,Graduation,Together,84906,0,0,8.92,98,997,15,414,99,30,76,1631,1,5,12,2,0,0,SP,3
2088,49,Graduation,Together,84906,0,0,8.92,98,997,15,414,99,30,76,1631,1,5,12,2,0,0,GER,3
3725,60,PhD,Single,84865,0,0,9.33,1,1248,16,349,43,16,16,1688,1,2,9,4,1,0,SP,4
1826,51,Graduation,Divorced,84835,0,0,8.22,0,189,104,379,111,189,218,1190,1,4,6,1,1,0,SP,0
1966,56,PhD,Married,84618,0,0,8.79,96,684,100,801,21,66,0,1672,1,6,10,2,0,0,AUS,1
7789,56,PhD,Married,84618,0,0,8.79,96,684,100,801,21,66,0,1672,1,6,10,2,0,0,SP,1
6945,69,Graduation,Single,84574,0,0,9.25,72,387,20,713,38,54,163,1375,1,9,11,5,0,0,SP,0
1509,63,PhD,Together,84460,0,0,9.67,80,152,27,103,106,54,81,523,0,9,4,5,1,0,SP,4
10981,33,Graduation,Married,84219,0,0,8.59,27,434,137,400,45,137,45,1198,1,3,10,1,0,0,SA,0
486,33,Graduation,Married,84219,0,0,8.59,27,434,137,400,45,137,45,1198,1,3,10,1,0,0,CA,0
10156,46,Graduation,Single,84196,0,1,9.26,56,215,63,507,231,31,190,1237,1,8,7,3,0,0,SP,0
5547,39,PhD,Married,84169,0,0,9.08,9,1478,19,403,0,19,0,1919,1,7,6,3,1,0,SP,2
8362,39,PhD,Married,84169,0,0,9.08,9,1478,19,403,0,19,0,1919,1,7,6,3,1,0,SA,2
5721,65,PhD,Married,84117,0,0,8.32,60,611,76,749,59,45,26,1566,1,7,6,2,0,0,CA,1
8923,48,Graduation,Single,83917,0,0,9.38,12,514,22,732,42,198,79,1587,1,6,7,3,1,0,SP,0
2495,47,Master,Married,83891,0,1,8.21,24,217,38,350,111,85,15,816,1,4,10,1,0,0,SP,0
3560,69,Graduation,Together,83844,0,0,9.32,57,901,31,345,75,31,191,1574,1,4,11,1,0,0,GER,1
241,69,Graduation,Together,83844,0,0,9.32,57,901,31,345,75,31,191,1574,1,4,11,1,0,0,SP,1
7521,69,Graduation,Together,83844,0,0,9.32,57,901,31,345,75,31,191,1574,1,4,11,1,0,0,CA,1
10314,73,PhD,Married,83837,0,0,9.72,79,847,66,119,86,89,111,1318,1,9,5,4,1,0,IND,2
5538,46,Graduation,Divorced,83829,0,0,8.91,78,897,161,430,186,161,27,1862,0,4,6,1,1,0,SP,3
3910,46,Graduation,Divorced,83829,0,0,8.91,78,897,161,430,186,161,27,1862,0,4,6,1,1,0,SP,3
6274,73,Master,Married,83790,0,0,8.81,81,1076,16,417,42,48,16,1615,1,8,6,3,0,0,SA,2
10286,59,Graduation,Married,83715,0,0,8.59,2,318,8,407,150,35,8,926,1,2,13,0,0,0,SA,0
9799,53,PhD,Divorced,83664,1,1,9.33,57,866,21,151,28,21,86,1173,3,2,12,5,0,0,SP,0
3005,29,Graduation,Single,83528,0,0,8.35,7,530,117,678,134,44,147,1650,1,4,8,1,1,0,SP,2
477,35,Graduation,Married,83512,0,0,8.22,31,1060,61,835,80,20,101,2157,1,4,10,1,1,0,SP,4
6974,49,PhD,Together,83443,0,0,8.68,89,518,42,742,55,56,84,1497,1,6,5,2,0,0,GER,0
4974,51,Graduation,Single,83273,1,2,9.95,98,433,89,650,16,102,102,1392,10,4,9,7,0,0,US,0
4427,26,2nd Cycle,Single,83257,0,0,9.96,56,536,27,590,38,107,67,1365,1,5,12,6,1,1,SP,2
9010,49,Master,Married,83151,0,0,9.57,80,968,147,842,137,42,210,2346,1,5,10,2,1,0,SP,3
9286,61,Master,Together,83151,0,0,9.90,93,407,28,100,120,74,18,747,1,5,4,3,0,0,SP,0
5031,47,Graduation,Together,83145,0,0,9.95,14,777,35,731,39,137,114,1833,1,5,11,2,1,0,SP,1
8931,35,Graduation,Together,83033,1,0,8.30,82,812,99,431,237,149,33,1761,1,11,10,5,0,0,SA,1
9560,56,Graduation,Together,83003,0,0,9.51,18,856,61,570,40,25,122,1674,1,7,8,3,1,0,SP,1
2114,75,PhD,Single,82800,0,0,9.78,23,1006,22,115,59,68,45,1315,1,7,12,3,1,0,US,2
4261,75,PhD,Single,82800,0,0,9.78,23,1006,22,115,59,68,45,1315,1,7,12,3,1,0,SA,2
10163,37,PhD,Single,82733,0,0,8.99,28,712,50,420,65,38,38,1323,1,8,7,4,1,0,SP,0
9930,77,PhD,Single,82716,0,0,8.83,8,606,148,228,15,148,22,1167,1,6,13,2,0,0,CA,0
1553,75,Graduation,Together,82657,0,0,8.94,71,966,168,672,246,105,126,2283,1,7,10,4,0,0,GER,2
1411,69,Graduation,Divorced,82623,0,0,8.82,58,204,34,204,172,153,173,940,1,2,4,1,0,0,SP,0
1361,47,Master,Married,82584,0,0,9.25,26,1076,68,103,29,91,68,1435,1,3,8,1,1,0,SP,2
2225,44,Graduation,Divorced,82582,0,0,8.25,54,510,120,550,156,40,241,1617,1,4,7,1,1,0,AUS,2
2611,62,Master,Together,82576,0,0,10.10,66,1206,55,445,168,18,18,1910,1,2,12,1,0,0,SA,1
4686,59,PhD,Widow,82571,0,0,8.43,28,861,31,558,62,95,79,1686,0,6,13,2,0,0,SP,1
5332,61,2nd Cycle,Married,82504,0,0,9.11,2,362,50,431,134,35,54,1066,1,3,7,1,0,0,IND,0
4543,41,Graduation,Married,82497,0,0,9.85,32,777,129,573,216,21,203,1919,1,2,9,4,0,0,SA,1
3503,71,Graduation,Divorced,82460,0,0,8.76,78,255,47,573,52,32,15,974,1,5,6,1,0,0,SA,0
10129,55,Graduation,Together,82427,0,0,8.48,35,482,147,509,104,107,107,1456,1,3,12,1,0,0,SP,1
6260,66,Master,Together,82384,0,0,9.79,55,984,51,432,180,120,190,1957,1,3,13,1,1,0,AUS,1
4856,64,2nd Cycle,Married,82347,0,0,9.83,38,556,54,845,202,133,63,1853,1,7,10,3,0,0,IND,2
8722,64,2nd Cycle,Married,82347,0,0,9.83,38,556,54,845,202,133,63,1853,1,7,10,3,1,0,CA,2
6292,35,PhD,Married,82333,0,0,9.44,60,1311,0,359,46,89,17,1822,1,4,10,2,1,0,GER,1
3104,60,Graduation,Single,82332,0,0,9.97,89,830,59,968,51,79,19,2006,1,5,12,2,1,0,GER,1
2186,44,2nd Cycle,Together,82326,0,0,8.49,30,938,142,754,159,81,183,2257,1,5,6,2,1,0,SP,3
5278,57,Graduation,Married,82224,0,0,8.61,83,307,26,360,138,31,40,902,1,6,5,3,0,0,GER,1
8164,43,PhD,Married,82170,0,0,8.78,13,1023,93,651,49,55,37,1908,1,5,7,2,0,0,SA,0
7960,59,2nd Cycle,Together,82122,0,0,9.06,89,734,22,350,151,25,100,1382,1,3,13,1,0,0,SP,1
4597,51,PhD,Together,82072,0,0,9.18,67,889,55,685,168,92,129,2018,1,3,13,1,0,0,SA,0
202,73,PhD,Widow,82032,0,0,8.42,54,332,194,377,149,125,57,1234,0,4,7,1,0,0,IND,0
9589,73,PhD,Widow,82032,0,0,8.42,54,332,194,377,149,125,57,1234,0,4,7,1,0,0,IND,0
6810,38,Graduation,Divorced,82025,0,0,9.27,76,267,98,606,48,70,98,1187,1,3,6,1,1,0,SA,1
10446,64,PhD,Married,82017,0,0,9.83,58,184,23,446,30,23,23,729,1,5,7,2,1,0,CA,3
8395,60,Graduation,Single,82014,0,0,10.04,48,980,37,265,35,163,31,1511,1,3,12,6,1,0,SA,0
5341,59,2nd Cycle,Divorced,81975,0,1,9.67,2,983,76,184,180,138,27,1588,1,6,4,7,0,0,SA,1
1103,45,Master,Married,81929,1,0,9.93,60,1486,55,278,49,0,185,2053,2,4,10,6,1,0,AUS,2
1650,61,Master,Married,81843,0,0,9.37,13,779,86,537,34,69,138,1643,1,5,12,3,0,0,SP,0
9292,69,Graduation,Married,81795,0,0,9.86,74,324,132,693,27,118,88,1382,1,4,7,2,0,0,SP,0
3179,41,Graduation,Single,81741,0,0,9.22,75,249,153,940,58,134,38,1572,0,6,7,2,0,0,SP,0
5687,41,Graduation,Divorced,81702,0,0,9.95,98,563,50,774,28,31,187,1633,1,7,12,3,0,0,CA,0
1524,38,2nd Cycle,Single,81698,0,0,9.52,1,709,45,115,30,160,45,1104,1,8,5,5,1,0,SP,1
9504,72,Master,Married,81698,0,0,8.83,4,179,28,520,111,123,47,1008,1,3,13,1,1,0,SP,0
2410,52,Graduation,Single,81657,0,0,8.62,69,364,40,425,158,60,50,1097,1,3,8,1,0,0,SP,0
9298,74,PhD,Together,81574,0,0,8.36,89,1252,0,465,46,35,0,1798,1,4,8,1,0,0,SA,2
1544,54,Master,Divorced,81380,0,0,9.70,51,741,68,689,224,68,103,1893,1,4,10,2,0,0,CA,0
535,34,Graduation,Divorced,81361,0,0,8.53,18,163,23,424,27,65,76,778,1,3,13,1,0,0,GER,0
4608,34,Graduation,Divorced,81361,0,0,8.53,18,163,23,424,27,65,76,778,1,3,13,1,1,0,SA,0
8624,63,Graduation,Married,81320,0,0,9.58,61,183,33,493,59,103,57,928,1,4,10,2,0,0,SA,0
4673,58,PhD,Married,81300,0,1,9.85,17,1004,12,145,32,12,36,1241,3,10,5,5,1,0,SP,1
1137,57,Graduation,Single,81246,0,0,8.68,87,398,190,537,61,156,37,1379,1,4,7,1,0,0,SP,2
6071,32,Graduation,Single,81217,0,0,9.13,77,493,70,324,146,40,84,1157,1,3,11,1,0,0,SP,0
295,32,Graduation,Single,81217,0,0,9.13,77,493,70,324,146,40,84,1157,1,3,11,1,0,0,SP,0
5848,51,Graduation,Together,81205,0,0,8.64,43,724,74,929,97,55,130,2009,1,5,7,2,1,0,IND,3
203,46,Master,Single,81169,0,0,9.39,47,1288,20,613,80,61,27,2089,1,5,9,2,0,0,SP,0
988,56,Graduation,Married,81168,0,0,8.33,84,410,0,592,147,22,22,1193,1,6,7,3,0,0,SP,1
4394,56,PhD,Married,81051,0,0,8.29,43,1142,29,249,38,29,14,1501,1,5,12,2,0,0,SP,2
2079,74,2nd Cycle,Married,81044,0,0,8.69,0,450,26,535,73,98,26,1208,1,5,10,1,0,0,US,0
2150,63,PhD,Widow,80995,0,1,9.32,83,860,28,409,73,56,56,1482,1,8,4,4,0,0,CA,0
7966,62,Graduation,Single,80982,1,1,9.66,48,505,137,401,104,22,22,1191,3,11,11,5,0,1,SP,0
3667,52,Graduation,Married,80952,0,0,9.52,20,778,178,689,41,27,44,1757,1,8,11,8,1,0,GER,3
9274,60,Master,Married,80950,0,0,9.44,44,525,147,112,219,147,63,1213,1,6,9,2,0,0,SA,1
10245,35,2nd Cycle,Single,80910,0,0,9.85,71,160,80,369,67,39,41,756,1,3,8,1,0,0,SP,0
3434,70,Graduation,Single,80872,0,0,8.32,60,483,72,567,94,12,108,1336,1,4,10,1,0,0,SP,0
4789,68,Graduation,Together,80812,0,0,8.97,95,769,22,500,210,143,33,1677,1,4,5,2,0,0,IND,3
5718,71,Graduation,Married,80763,0,0,9.06,17,674,168,108,192,42,231,1415,1,5,6,3,1,0,SA,2
4687,63,Master,Married,80739,0,0,9.29,92,674,92,736,39,0,92,1633,1,3,9,1,0,0,SP,0
1065,58,Graduation,Single,80695,0,0,8.68,85,557,129,984,193,37,18,1918,1,5,5,2,0,0,US,0
6905,27,Graduation,Together,80685,0,0,10.04,55,241,45,604,34,26,54,1004,1,6,10,2,0,0,SP,0
3661,26,2nd Cycle,Single,80617,0,0,9.90,42,594,51,631,72,55,32,1435,1,4,8,2,0,0,IND,0
4310,77,Graduation,Married,80589,0,0,8.62,25,507,93,520,242,40,26,1428,1,5,5,1,1,0,AUS,1
9209,50,Master,Together,80573,0,0,9.89,85,829,138,430,60,92,15,1564,1,4,13,2,0,0,SA,0
6417,50,Master,Together,80573,0,0,9.89,85,829,138,430,60,92,15,1564,1,4,13,2,0,0,SP,0
8717,46,PhD,Married,80427,0,1,9.98,56,1149,71,449,69,71,26,1835,1,11,8,5,0,0,IND,0
7396,55,Graduation,Married,80398,0,0,9.82,92,342,51,936,207,35,26,1597,1,5,12,3,0,0,SP,1
6086,66,Graduation,Married,80395,0,0,8.78,62,445,25,706,80,76,48,1380,1,6,12,2,0,0,AUS,1
737,72,PhD,Married,80360,0,0,9.51,56,1493,86,454,112,43,43,2231,2,4,5,2,0,0,SP,3
7849,51,PhD,Married,80336,0,0,8.99,12,209,19,456,160,142,66,1052,1,2,13,1,0,0,SP,0
2730,66,Graduation,Single,80317,0,0,9.04,64,536,11,387,149,91,57,1231,1,3,10,1,0,0,CA,0
3711,77,Master,Married,80184,0,0,8.52,19,1035,134,670,25,38,0,1902,1,6,10,3,0,0,SP,2
7428,46,Graduation,Together,80144,0,0,8.93,47,240,132,445,250,192,108,1367,1,3,8,1,0,0,AUS,0
3690,35,Master,Married,80141,0,0,9.65,20,1184,102,673,52,40,40,2091,1,7,10,6,1,0,SP,1
5067,27,Graduation,Together,80134,0,0,8.56,11,966,26,282,52,26,26,1378,1,2,11,5,0,0,SP,4
2176,49,Graduation,Married,80134,1,0,9.30,40,1218,16,272,104,0,80,1690,2,5,6,6,1,0,SA,3
9121,49,Graduation,Married,80134,1,0,9.30,40,1218,16,272,104,0,80,1690,2,5,6,6,1,0,AUS,3
1225,58,Graduation,Married,80124,0,0,8.19,47,483,84,398,205,84,241,1495,1,3,8,1,0,0,SA,1
7059,58,Graduation,Married,80124,0,0,8.19,47,483,84,398,205,84,241,1495,1,3,8,1,0,0,SP,1
9938,67,Graduation,Married,80067,0,0,8.96,82,519,17,813,27,173,51,1600,1,4,6,2,0,0,IND,1
8601,41,Graduation,Married,80011,0,1,9.35,3,421,76,536,82,178,102,1395,2,8,5,4,0,0,AUS,0
10102,55,Graduation,Widow,79946,0,0,8.32,19,395,183,565,166,141,28,1478,1,5,5,3,0,0,SA,0
1371,45,Graduation,Single,79941,0,0,8.19,72,123,164,266,227,30,174,984,1,2,9,1,0,0,AUS,0
460,49,PhD,Married,79930,0,0,10.08,72,792,86,740,67,51,17,1753,1,3,8,2,0,0,SA,0
8314,39,Graduation,Married,79908,0,0,9.42,30,557,129,761,29,185,111,1772,1,5,7,2,0,0,SP,1
4828,67,Graduation,Divorced,79865,0,1,8.22,12,71,99,278,185,121,38,792,1,5,5,1,0,0,SA,0
6343,62,Graduation,Married,79823,0,1,8.43,6,835,73,380,114,73,43,1518,1,6,7,2,0,0,AUS,1
4790,63,Graduation,Divorced,79803,0,1,8.26,54,574,8,216,21,16,33,868,1,4,5,1,0,0,SP,0
9058,66,Graduation,Widow,79800,0,0,9.95,65,1060,21,530,32,0,224,1867,1,5,5,3,1,0,SP,3
9449,63,PhD,Single,79761,0,1,8.92,32,415,5,124,15,35,11,605,1,5,11,3,0,0,SA,0
8093,52,Master,Married,79734,0,0,8.19,72,572,8,232,23,62,17,914,1,4,6,1,0,0,SP,1
9305,45,2nd Cycle,Single,79689,0,0,9.32,65,311,26,640,180,37,121,1315,1,4,13,2,0,0,SP,0
5303,47,PhD,Together,79632,0,0,8.41,42,471,0,510,99,21,12,1113,1,6,9,2,0,0,SA,0
11071,37,Graduation,Single,79607,0,0,9.38,37,450,133,951,173,0,216,1923,1,3,6,1,1,0,CA,0
8504,48,Graduation,Married,79593,0,0,8.32,70,350,60,568,110,133,145,1366,1,5,7,2,0,0,GER,1
1020,48,Graduation,Married,79593,0,0,8.32,70,350,60,568,110,133,145,1366,1,5,7,2,0,0,SP,1
5125,61,Graduation,Married,79530,0,0,9.30,64,333,0,815,129,42,29,1348,1,4,11,2,0,0,SP,0
9264,35,Graduation,Married,79529,0,0,8.36,1,423,42,706,73,197,197,1638,1,4,9,2,0,0,CA,0
8707,65,Graduation,Married,79456,0,0,10.04,12,565,42,548,64,83,99,1401,1,5,4,3,1,0,SP,0
2939,51,Master,Together,79419,0,0,8.21,96,751,127,687,20,15,31,1631,1,4,4,2,0,0,CA,0
7959,60,Graduation,Married,79410,0,0,8.27,19,658,80,483,123,13,13,1370,1,3,5,1,0,0,SP,0
7734,28,Graduation,Single,79244,0,0,9.71,58,471,102,125,212,61,245,1216,1,4,7,1,1,0,AUS,2
4122,46,Graduation,Married,79205,0,0,10.02,73,504,23,117,179,28,44,895,1,6,4,4,1,0,SP,1
